DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fe-S families
COLOR	#ff0000
FIELD_LABELS	Aconitase	Aldehyde_Fd_oxidoreductase	CDGSH_NEET	CobG_precorrin	DNA_glycosylase_MutY	DNA_glycosylase_Nth	DUF779_FeS_candidate	Dihydroxyacid_dehydratase_IlvD	FadH_dienoyl_CoA	FbiC_FO_synthase	FeS_reductase_CCG	Ferredoxin_2Fe2S	Ferredoxin_4Fe4S	Ferredoxin_reductase_FprB	FhuF_siderophore_reductase	Glutamate_synthase	IPM_isomerase_LeuC	IspG_HMBPP_synthase	IspH_LytB	Molybdoenzyme	NADH_dehydrogenase	NifU_assembly	Nitrite_sulfite_reductase	PhnJ_CP_lyase	Quinolinate_synthase_NadA	Radical_SAM	Radical_SAM_BioB	Radical_SAM_HemN	Radical_SAM_LipA	Radical_SAM_MiaB	Radical_SAM_MoaA	Radical_SAM_PqqE	Radical_SAM_RlmN	Rieske	Rieske_QcrA	Rieske_nitrite_reductase	Rieske_steroid_oxygenase	SDH_FRD	SUF_biogenesis	SerA_dehydrogenase	Serine_dehydratase	SufU_assembly	ThiC	WhiB
GCF_010723305.1	1	0	0	0	1	1	0	1	0	0	1	4	14	1	0	1	1	1	1	4	9	0	4	0	1	12	0	0	0	0	1	0	0	10	1	1	1	2	2	0	0	1	1	6
GCF_010723575.1	2	0	1	0	1	1	0	1	0	1	1	11	18	1	1	1	1	1	1	11	10	0	2	0	1	7	1	1	1	1	1	1	1	18	1	1	3	2	2	1	1	1	1	12
GCF_010725725.1	2	0	1	0	0	1	0	1	0	0	1	7	24	1	0	1	1	1	1	14	6	0	2	1	1	12	0	0	0	1	1	0	0	19	1	1	3	1	2	0	0	1	1	8
GCF_010725885.1	1	0	1	0	1	1	0	4	0	0	1	16	11	1	1	2	2	1	1	6	2	0	2	1	1	9	0	0	1	1	1	0	0	13	1	1	1	1	2	1	1	1	0	8
GCF_010726085.1	1	0	1	0	1	1	0	1	0	0	1	13	22	1	0	2	1	1	1	12	10	0	2	0	1	7	0	1	0	1	1	1	0	28	1	1	3	1	2	1	0	1	1	7
GCF_010726245.1	1	0	1	0	1	1	0	2	0	0	1	8	23	1	0	2	1	1	1	11	6	0	2	0	1	8	0	0	0	1	1	0	1	19	0	0	2	1	2	0	0	1	1	6
GCF_010726645.1	1	0	1	0	1	1	0	2	0	0	1	5	23	1	0	2	1	1	1	14	6	0	2	0	1	9	0	0	0	1	1	0	0	18	1	1	4	1	2	0	0	1	1	6
GCF_010726765.1	1	0	1	0	1	1	0	0	0	0	1	10	23	1	0	2	1	1	1	14	6	0	3	0	1	8	0	0	0	1	1	0	0	30	0	1	4	1	2	1	0	1	1	8
GCF_010726955.1	2	0	1	0	1	1	0	1	0	0	1	4	15	1	0	1	1	1	1	7	3	1	2	0	1	10	0	0	0	0	0	0	0	8	0	0	2	1	2	0	0	1	1	8
GCF_010727125.1	2	0	1	0	0	1	0	1	0	0	1	8	11	1	1	1	1	0	1	6	4	0	2	0	1	10	0	0	0	0	1	0	0	10	0	1	2	1	2	0	0	1	1	6
GCF_010727325.1	3	0	1	0	1	1	0	1	0	0	1	6	19	1	1	2	1	1	1	12	4	0	2	0	1	8	0	0	1	1	1	0	1	14	1	1	3	1	2	1	0	1	1	7
GCF_010727475.1	3	0	1	0	1	1	0	4	0	1	1	13	23	1	1	2	1	1	1	8	6	0	2	0	1	11	0	0	1	0	1	1	1	18	1	1	2	2	2	1	2	1	1	6
GCF_010727605.1	1	0	1	0	1	1	0	1	0	0	1	5	16	1	1	1	1	1	1	10	8	1	2	1	1	7	1	1	1	1	1	1	0	14	1	1	2	2	2	1	0	1	1	7
GCF_010727945.1	1	0	0	0	1	1	0	1	0	0	1	7	14	1	1	1	1	1	1	4	9	1	1	0	1	10	0	1	0	1	0	1	1	16	0	0	3	1	2	1	0	1	1	6
GCF_010728155.1	1	0	1	0	0	1	0	1	0	0	1	4	8	1	0	2	1	1	1	4	5	0	3	1	1	7	0	0	0	1	1	1	0	7	0	1	0	2	2	0	0	1	1	6
GCF_010728325.1	2	0	1	0	1	1	0	2	0	0	1	12	19	1	1	2	2	1	1	10	7	1	3	0	1	8	0	0	0	1	1	0	0	15	1	1	2	1	2	0	1	1	1	8
GCF_010728725.1	2	0	1	0	1	1	0	1	0	0	1	6	22	1	1	1	1	1	1	6	8	2	2	0	1	12	1	1	1	1	2	1	0	16	1	1	4	2	2	1	0	1	1	12
GCF_010728925.1	1	0	1	0	1	1	0	1	0	0	1	9	18	0	0	2	1	1	1	15	9	0	2	0	1	9	0	0	0	1	1	1	0	30	0	1	3	1	2	1	0	1	1	7
GCF_010729105.1	1	0	1	0	1	1	0	1	0	0	1	9	20	1	1	1	2	1	1	9	10	1	3	1	1	9	0	1	1	1	1	1	1	23	1	1	2	2	2	1	0	1	1	8
GCF_010729305.1	1	0	1	0	1	1	0	1	0	0	1	8	22	1	0	2	1	1	1	11	7	0	3	0	1	9	0	0	0	1	1	0	0	17	1	1	1	1	2	0	1	1	0	9
GCF_010729485.1	2	0	1	0	1	1	0	1	0	0	1	5	12	1	1	1	1	1	1	8	4	0	2	0	1	9	0	0	0	0	1	1	0	15	0	1	2	1	2	0	0	1	1	6
GCF_010729665.1	1	0	1	0	1	1	0	2	0	0	1	11	14	1	1	2	3	1	1	7	4	0	2	0	1	9	0	0	0	1	1	0	0	13	1	0	1	1	2	0	1	1	0	8
GCF_010729895.1	1	0	1	0	1	1	0	2	0	0	1	14	27	1	0	2	1	1	1	12	5	1	3	0	1	10	0	0	0	1	1	0	1	18	0	1	2	1	2	0	0	1	1	8
GCF_010730055.1	1	0	0	0	1	1	0	1	1	0	1	2	9	1	0	1	1	1	2	4	6	1	2	0	1	12	0	1	0	1	1	0	1	5	1	1	0	1	2	1	1	1	2	7
GCF_010730195.1	1	0	1	0	1	1	0	1	0	1	1	8	16	1	1	1	1	1	1	10	7	0	2	0	1	9	0	1	1	1	1	1	1	18	1	1	3	2	2	1	0	1	1	11
GCF_010730355.1	1	0	1	1	0	1	0	1	0	1	1	7	22	1	1	1	2	1	1	11	7	1	2	1	1	8	1	1	1	1	1	1	1	22	1	1	3	1	2	1	0	1	1	7
GCF_010730575.1	2	0	1	1	1	1	0	1	0	0	1	4	23	1	1	1	2	1	1	9	9	1	4	0	1	11	0	1	1	1	1	0	1	16	1	1	4	2	2	1	0	1	1	9
GCF_010730745.1	2	0	1	1	1	1	0	1	0	0	1	2	15	1	1	1	1	1	1	7	10	0	3	0	1	9	0	1	1	1	1	1	0	11	1	1	3	2	2	1	0	1	1	7
GCF_010730955.1	1	0	1	0	1	1	0	2	0	0	1	15	11	1	1	1	1	1	1	10	6	1	2	0	1	9	0	0	0	1	1	0	1	14	1	1	2	1	2	0	2	1	1	11
GCF_010731115.1	1	0	1	0	1	0	0	1	0	0	1	12	12	1	1	1	1	1	1	10	2	0	2	0	1	7	0	0	0	1	1	0	1	11	1	1	1	1	2	0	1	1	1	7
GCF_010731295.1	2	0	1	0	1	1	0	1	0	0	1	8	23	1	1	2	1	1	1	12	3	0	2	0	1	9	0	0	1	1	1	1	1	16	1	1	3	2	2	1	1	1	1	7
GCF_010731535.1	1	0	0	1	1	1	0	1	0	0	1	3	10	1	1	1	1	1	2	6	8	1	2	0	1	8	0	1	1	1	1	0	1	9	1	1	1	2	2	1	1	1	1	7
GCF_010731575.1	1	0	1	0	1	1	0	1	0	0	1	8	31	1	0	2	1	1	1	13	5	0	3	0	1	11	0	0	0	0	1	1	0	27	1	1	3	1	2	0	0	1	0	6
GCF_010731595.1	1	0	1	0	1	1	0	1	0	0	1	6	20	1	0	1	2	1	1	9	9	1	3	0	1	8	0	1	1	1	1	1	1	18	1	1	3	2	2	1	0	1	1	9
GCF_010731615.1	1	0	1	0	1	1	0	1	0	0	1	6	16	1	0	1	1	1	1	7	3	1	2	0	1	11	0	0	0	0	0	0	0	13	0	0	2	1	2	0	0	1	1	7
GCF_010731635.1	3	0	1	0	1	1	0	1	0	0	1	2	18	1	0	1	1	1	1	6	8	2	3	0	1	10	0	1	0	1	1	1	0	12	1	1	2	2	2	1	0	1	1	7
GCF_010731655.1	1	0	1	0	1	1	0	1	0	0	1	5	25	1	0	1	1	1	1	10	9	1	3	0	1	9	0	1	1	1	1	1	1	24	1	1	3	2	2	1	0	1	1	8
GCF_010731675.1	2	0	1	0	1	1	0	1	0	0	1	6	16	1	1	1	1	1	1	11	8	0	3	0	1	10	0	1	1	1	1	1	1	14	1	1	3	2	2	1	0	1	1	6
GCF_010731695.1	1	0	1	0	1	1	0	1	0	0	1	8	19	1	0	2	1	1	1	10	3	0	3	0	1	9	0	1	1	0	1	1	0	13	1	1	1	1	2	1	1	1	1	6
GCF_010731715.1	2	0	1	1	1	1	0	1	0	1	1	8	22	1	1	1	2	1	1	9	10	1	2	1	1	8	0	1	1	1	1	1	1	19	1	1	2	1	2	1	1	1	1	8
GCF_010731755.1	2	0	1	0	1	1	0	1	0	0	1	3	5	1	1	1	1	1	1	7	3	1	2	0	1	7	0	0	0	0	1	1	0	6	0	1	1	1	2	0	0	1	1	6
GCF_010731775.1	3	0	1	1	1	1	0	1	0	1	1	5	24	1	1	1	3	1	1	9	9	0	3	0	1	8	1	1	1	1	1	1	1	32	1	1	5	2	2	1	0	1	1	7
GCF_010731795.1	2	0	1	0	1	1	0	1	0	0	1	6	16	1	1	1	1	1	1	12	5	0	2	0	1	9	0	1	0	1	1	1	0	13	1	1	4	1	2	0	0	1	1	7
GCF_010731815.2	1	0	1	0	1	1	0	2	0	0	1	11	14	1	0	2	1	1	1	11	3	0	3	0	1	9	0	0	0	1	1	0	0	11	1	1	1	2	2	0	1	1	1	9
GCF_010731855.1	1	0	1	0	1	1	0	2	0	0	1	8	21	1	0	2	1	1	1	9	5	1	2	0	1	5	0	0	0	1	1	1	1	16	1	0	2	1	2	0	1	1	1	8
GCF_010731875.1	1	0	0	0	1	1	0	2	0	0	1	5	11	1	1	2	1	1	1	4	4	0	1	0	1	8	0	0	0	1	1	0	0	10	0	0	1	1	2	0	0	1	1	7
GCF_010731895.1	1	0	1	0	1	1	0	1	0	0	1	11	22	1	1	2	1	1	1	10	8	0	2	0	1	9	0	0	0	1	1	0	1	17	0	0	1	1	2	0	2	1	1	7
GCF_011758805.1	1	0	1	0	1	1	0	2	0	0	1	14	19	1	1	2	1	1	1	10	8	1	4	0	1	8	0	0	0	1	1	0	1	18	1	1	2	1	2	1	1	1	1	9
GCF_013404075.1	1	0	1	0	1	1	0	0	0	0	1	10	26	1	0	2	1	1	1	13	9	0	2	0	1	8	0	0	0	1	1	1	1	23	0	1	2	1	2	0	0	1	1	9
GCF_013466425.1	1	0	1	0	1	1	0	1	0	0	1	10	19	1	1	1	1	1	2	8	10	1	2	0	1	9	0	1	1	1	1	1	1	25	1	1	3	2	2	1	0	1	1	9
GCF_014190915.1	1	0	0	0	1	1	0	2	0	0	1	8	17	1	1	2	1	1	1	16	3	0	2	0	1	8	0	0	0	1	1	0	0	16	1	1	2	1	2	0	1	1	1	9
GCF_014218295.1	1	0	1	0	1	1	0	1	0	0	1	6	18	1	0	2	1	1	1	9	3	0	3	0	1	9	0	0	1	1	1	1	0	16	0	1	2	1	2	0	1	1	0	7
GCF_015689175.1	2	0	1	0	1	1	0	1	0	0	1	6	17	1	1	1	2	1	1	10	6	0	3	0	1	9	1	1	1	1	1	1	1	14	1	1	2	2	2	1	0	1	1	9
GCF_015710575.1	1	0	1	0	1	1	0	2	0	0	1	13	13	1	1	2	1	1	1	8	3	0	1	1	1	11	0	0	1	0	1	0	0	14	0	0	1	2	2	1	1	1	0	6
GCF_016313185.1	1	0	1	0	1	1	0	3	0	0	1	10	15	1	0	2	1	1	1	10	4	0	3	0	1	8	0	0	1	0	1	1	0	20	1	1	2	1	2	0	1	1	0	7
GCF_016592155.1	2	0	1	0	1	1	0	1	0	0	1	2	20	1	1	1	1	1	1	7	8	1	3	0	1	12	0	0	0	1	1	0	0	11	1	1	3	1	2	1	0	1	1	6
GCF_016767715.1	1	0	0	0	0	1	0	1	0	0	0	7	7	1	1	1	1	1	1	10	2	1	2	0	1	8	0	0	0	1	1	0	0	7	0	1	1	1	2	1	0	1	1	8
GCF_017086405.1	1	0	1	0	1	1	0	1	0	0	1	12	18	1	1	1	1	1	1	9	8	1	2	0	1	5	1	1	1	1	1	1	1	19	1	1	2	2	2	1	1	1	1	14
GCF_017876775.1	1	0	1	0	1	1	0	1	0	0	1	5	21	1	1	2	1	1	1	12	5	0	2	0	1	7	0	0	1	1	1	0	1	13	1	1	2	1	2	1	0	1	1	8
GCF_018278905.1	1	0	0	0	1	1	0	1	1	0	1	2	10	0	1	1	1	1	1	6	8	1	2	0	1	11	0	1	0	1	1	0	0	10	1	1	1	2	2	1	1	1	1	7
GCF_018455725.1	2	0	0	0	1	1	0	1	0	0	1	6	5	1	1	1	1	0	1	5	3	0	2	0	1	9	0	0	0	0	0	0	0	5	0	1	0	1	2	0	0	1	1	9
GCF_019050325.1	2	0	1	0	0	1	0	1	0	0	1	6	20	1	1	2	1	1	1	10	3	0	2	0	1	8	0	0	1	1	1	1	0	14	1	1	2	1	2	1	0	1	1	7
GCF_019456655.1	1	0	1	0	1	1	0	1	0	0	1	12	18	1	0	2	1	1	1	12	5	0	2	0	1	8	0	0	0	1	1	0	1	21	1	1	2	2	2	0	0	1	1	8
GCF_019645815.1	2	0	0	0	1	1	0	1	0	0	1	5	13	1	1	1	1	1	1	8	6	1	2	0	1	9	0	0	0	0	1	1	0	11	0	1	2	1	2	0	0	1	1	6
GCF_019645835.1	2	0	1	0	1	1	0	1	0	0	1	10	20	1	0	1	1	1	1	16	6	0	2	0	1	9	0	0	0	1	1	0	0	19	1	1	3	1	2	0	0	1	1	8
GCF_019645855.1	1	0	1	1	1	1	0	1	0	0	1	5	17	1	1	1	1	1	1	6	11	1	3	0	1	9	0	1	1	1	1	1	1	10	1	1	3	2	2	1	0	1	1	6
GCF_019645875.1	2	0	2	0	1	1	0	1	0	0	1	9	22	1	1	2	2	1	1	11	3	1	2	0	1	7	0	0	1	1	1	1	1	15	1	1	2	2	2	1	1	1	1	6
GCF_019668465.1	2	0	1	0	1	1	0	1	0	1	1	6	19	1	1	1	2	1	1	12	7	0	4	0	1	8	1	1	1	1	1	1	1	19	1	1	4	2	2	1	0	1	1	7
GCF_019710635.1	1	0	0	0	1	1	0	1	0	0	1	9	19	1	0	2	1	1	1	10	8	1	3	0	1	10	0	0	0	1	1	0	0	19	1	1	2	1	2	0	2	1	1	5
GCF_020172685.2	2	0	0	0	0	1	0	1	0	0	1	10	12	1	1	1	1	1	1	10	4	0	2	0	1	11	0	0	0	0	1	0	0	15	0	1	2	1	2	0	0	1	1	10
GCF_020181595.2	2	0	1	0	0	1	0	1	0	0	0	6	14	1	1	1	1	1	1	7	4	0	2	0	1	10	0	0	0	0	1	0	0	11	0	1	2	1	2	0	0	1	1	6
GCF_020181615.2	2	0	0	0	0	1	0	1	0	0	1	9	11	1	1	1	1	1	1	7	4	0	2	0	1	10	0	0	0	0	1	0	0	10	0	1	2	1	2	0	0	1	1	8
GCF_020181635.2	2	0	1	0	0	1	0	1	0	0	1	8	12	1	1	1	1	1	1	6	4	0	2	0	1	10	0	0	0	0	1	0	0	12	0	1	3	1	2	0	0	1	1	7
GCF_021916785.1	1	0	1	0	1	1	0	2	0	0	1	11	18	1	0	2	1	1	1	13	7	1	3	0	1	11	0	0	0	0	1	0	0	17	1	1	2	2	2	0	1	1	1	7
GCF_022179545.1	2	0	1	0	0	1	0	2	0	0	1	7	21	1	2	2	1	1	1	12	3	0	2	0	1	7	0	0	1	1	1	1	1	21	1	1	2	2	2	1	1	1	1	8
GCF_022370635.2	1	0	1	0	1	1	0	1	0	0	1	9	25	1	0	2	1	1	1	15	10	0	3	0	1	10	0	0	0	1	1	0	1	23	1	0	2	1	2	0	0	1	1	9
GCF_022370755.2	2	0	1	0	1	1	0	4	0	0	1	12	18	1	1	2	1	1	1	10	8	1	2	0	1	8	0	1	1	1	1	1	1	19	1	1	1	2	2	1	1	1	2	6
GCF_022370835.2	2	0	2	0	0	0	0	1	0	0	1	5	13	1	1	1	1	1	1	6	3	0	2	0	1	6	0	0	0	1	1	0	0	9	0	2	1	1	2	0	0	1	2	8
GCF_022374875.2	1	0	1	0	1	1	0	1	0	0	1	6	21	1	0	2	1	1	1	12	8	1	3	0	1	9	0	0	0	1	1	0	0	19	1	1	1	1	2	0	1	1	0	11
GCF_022374895.2	1	0	1	0	1	1	0	1	0	0	1	10	17	1	1	1	1	1	1	10	10	1	2	0	1	5	1	1	1	1	1	1	1	18	1	1	3	2	2	1	0	1	1	9
GCF_022374935.2	2	0	1	0	1	1	0	1	0	0	1	4	12	1	1	1	1	1	1	10	4	1	2	0	1	9	0	0	0	0	1	1	0	9	0	1	2	1	2	0	0	1	1	6
GCF_022430545.2	2	0	1	0	1	1	0	1	0	0	1	10	12	1	1	1	2	1	1	7	5	1	2	0	1	11	0	0	0	1	0	1	1	15	0	0	2	2	2	1	0	1	1	7
GCF_022760805.1	1	0	0	0	1	1	0	1	0	0	1	12	9	0	0	2	1	1	1	3	7	2	2	0	1	9	0	0	0	0	1	1	0	6	1	0	0	1	2	0	0	1	1	6
GCF_024320865.1	1	0	1	0	1	1	0	0	0	0	1	13	15	1	0	1	1	1	1	14	6	0	3	0	1	9	0	0	0	1	1	0	0	22	0	1	3	1	2	0	1	1	0	9
GCF_025215495.1	1	0	1	0	1	1	0	1	0	0	1	5	11	1	0	1	1	1	1	3	2	1	2	0	1	7	0	0	0	0	0	0	0	7	0	0	0	1	2	0	0	1	1	8
GCF_025331195.1	1	0	0	0	1	1	0	1	0	0	1	11	12	1	1	1	1	1	1	11	6	1	2	0	1	12	0	0	0	1	1	0	0	14	1	1	1	1	2	0	2	1	1	11
GCF_025345615.1	1	0	1	0	1	1	0	1	0	0	1	4	13	1	1	2	1	1	1	13	4	0	3	0	1	11	0	0	0	1	1	0	0	21	1	1	4	1	2	0	0	1	1	7
GCF_025821585.1	2	0	1	0	1	1	0	3	0	0	1	15	16	1	1	2	1	1	1	16	6	0	3	1	1	11	0	0	0	1	1	0	0	16	1	1	2	1	2	0	1	2	1	8
GCF_025821625.1	1	0	1	0	1	1	0	1	0	0	1	12	23	1	0	2	1	1	1	14	7	2	2	0	1	10	0	0	0	1	1	0	0	29	1	1	2	1	2	0	0	0	1	10
GCF_025822145.1	1	0	1	0	1	1	0	2	0	0	1	12	18	1	1	2	1	1	1	13	6	0	3	0	1	9	0	0	0	0	1	0	1	31	1	1	2	2	2	0	1	1	1	6
GCF_025822245.1	1	0	1	0	1	1	0	2	0	0	1	11	12	1	1	2	1	1	1	10	4	1	3	0	1	10	0	0	0	0	1	0	0	15	1	1	1	1	2	0	1	1	0	8
GCF_025822405.1	1	0	1	0	1	1	1	1	1	1	1	6	20	1	1	1	3	1	2	7	10	0	3	0	1	14	1	1	0	1	1	1	1	15	1	1	2	2	2	0	0	1	1	9
GCF_025822605.1	1	0	1	0	1	1	0	3	0	0	1	16	17	1	2	2	1	1	1	5	8	1	1	0	1	10	0	0	0	0	1	0	1	16	1	0	1	1	2	0	3	1	0	9
GCF_025822705.1	1	0	1	0	1	1	0	1	0	0	1	6	22	1	1	2	1	1	1	12	4	0	2	0	1	10	0	0	0	1	1	0	0	29	1	1	4	1	2	0	0	1	1	7
GCF_025822765.1	1	0	1	0	1	1	0	1	0	0	1	9	16	1	0	2	1	1	1	14	6	1	2	0	1	8	0	1	0	1	1	0	0	18	0	1	3	1	2	1	0	1	1	6
GCF_025822865.1	1	0	1	0	1	1	0	1	0	0	1	7	18	1	0	1	2	1	1	8	9	0	3	0	1	10	0	1	1	1	1	1	1	18	1	1	3	2	2	1	0	1	1	7
GCF_025822885.1	2	0	1	0	1	1	0	1	0	0	1	3	13	1	1	1	1	1	1	7	6	0	2	0	1	10	0	1	0	1	1	1	0	14	1	1	2	2	2	1	0	1	1	7
GCF_025822985.1	1	0	1	0	1	1	0	2	0	0	1	11	14	1	0	2	1	1	1	12	3	0	2	0	1	10	0	0	0	1	1	0	0	11	1	1	1	1	2	0	1	1	1	7
GCF_025823105.1	2	0	1	0	1	1	0	2	0	1	1	11	25	1	2	2	1	1	1	14	3	0	2	0	1	8	0	0	1	1	1	1	1	24	1	1	3	2	2	1	1	1	1	8
GCF_025823185.1	1	1	1	0	1	1	0	2	0	0	1	14	14	1	1	2	3	1	1	11	4	0	3	0	1	10	0	0	0	1	1	0	0	15	1	1	1	2	2	0	1	1	2	8
GCF_025823255.1	1	0	1	0	1	1	0	1	0	0	1	5	17	1	1	1	1	1	1	9	6	2	2	1	1	10	0	1	1	1	1	1	0	17	1	1	3	2	2	1	0	1	1	7
GCF_025823315.1	2	0	1	0	1	1	0	1	0	1	1	9	18	1	2	2	1	1	1	12	3	0	2	0	1	9	0	0	1	1	1	1	1	15	1	1	2	2	2	1	1	1	1	10
GCF_026242035.1	1	0	0	0	1	0	0	1	0	0	1	17	23	1	0	2	1	1	1	12	9	1	2	0	1	8	0	0	0	0	1	1	1	28	0	1	2	2	3	0	1	1	1	7
GCF_029893345.1	1	0	0	0	0	1	0	3	0	0	1	12	20	1	1	2	1	1	1	8	5	1	2	0	1	8	0	0	1	1	1	0	1	17	1	1	2	2	2	1	1	1	1	7
GCF_030252325.1	2	0	0	0	1	1	0	1	0	0	1	5	11	1	1	1	1	1	1	5	5	1	2	0	1	9	0	0	0	1	1	1	1	11	0	0	3	2	2	1	0	1	1	8
GCF_030499155.1	1	0	1	0	1	1	0	3	0	0	1	15	15	1	1	2	1	1	1	12	3	0	3	0	1	9	0	0	0	0	1	0	1	16	1	1	2	2	2	0	1	1	1	6
GCF_030519285.1	1	0	1	0	1	1	0	0	0	0	0	10	15	0	1	2	1	1	1	13	4	1	3	0	1	9	0	0	1	1	1	0	0	14	1	1	2	1	2	0	0	1	1	6
GCF_031583025.2	1	0	1	0	1	1	0	1	0	0	1	9	16	1	1	1	1	1	1	9	10	1	2	0	1	7	1	1	1	1	1	1	1	21	1	1	2	2	2	1	0	1	1	11
GCF_032883035.1	3	0	1	0	0	1	0	7	0	0	1	15	24	1	1	2	2	1	1	13	4	2	2	1	1	8	0	1	0	1	1	1	1	18	1	1	3	1	2	1	2	1	1	6
GCF_036946495.1	1	0	1	0	1	1	0	2	0	0	1	10	13	1	1	2	1	1	1	9	2	0	2	0	1	9	0	0	0	1	1	0	0	10	1	1	1	2	2	0	0	1	1	7
GCF_036946525.1	1	1	1	0	1	1	0	2	0	0	1	7	14	1	0	1	1	1	1	10	2	0	3	0	1	7	0	0	0	1	1	0	0	13	1	1	1	1	2	0	1	1	0	8
GCF_039729195.1	1	0	1	0	1	1	0	1	0	0	1	13	22	1	1	2	1	1	1	13	6	1	3	0	1	9	0	0	0	1	1	0	0	23	1	1	2	1	2	0	1	1	0	7
GCF_041206865.1	1	0	1	0	1	1	0	1	0	0	1	8	23	1	1	1	2	1	1	8	10	0	3	0	1	11	0	1	0	1	1	1	0	12	1	1	3	2	2	1	0	1	1	10
GCF_041287165.2	1	0	0	0	1	1	0	1	0	0	1	10	13	1	1	2	1	1	1	14	3	0	3	0	1	10	0	0	0	0	1	0	0	16	1	1	3	1	2	0	1	1	1	9
GCF_041890355.1	1	0	1	0	1	1	0	1	0	0	1	7	16	1	1	1	1	1	1	8	8	1	4	0	1	9	0	1	1	1	1	1	1	17	1	1	3	2	2	1	0	1	1	7
GCF_046250095.1	2	0	1	0	1	1	0	1	0	0	1	3	12	1	1	1	1	1	1	9	4	1	2	0	1	9	0	0	0	0	1	1	0	10	0	1	2	1	2	0	0	1	1	5
GCF_048452905.1	1	0	1	0	1	1	0	1	0	0	1	5	15	1	1	2	1	1	1	12	4	0	2	0	1	9	0	0	0	1	1	0	0	12	1	1	3	1	2	0	0	1	1	7
GCF_050205315.1	2	0	1	0	1	1	0	1	0	0	1	4	17	1	1	1	1	1	1	12	4	0	2	1	1	9	0	0	0	1	1	0	0	13	1	1	3	1	2	0	0	1	1	7
GCF_050205415.1	1	0	1	0	1	1	0	0	0	0	1	7	18	1	0	2	1	1	1	10	4	1	3	0	1	9	0	0	0	1	1	1	0	16	1	1	2	1	2	0	1	1	0	7
GCF_050205485.1	1	0	1	0	1	1	0	1	0	0	1	6	20	1	2	2	1	1	1	13	4	1	3	0	1	10	0	0	0	1	1	0	0	16	1	1	2	1	2	0	0	1	0	7
GCF_050205545.1	1	0	1	0	1	1	0	1	0	0	1	5	18	1	1	2	1	1	1	12	4	0	2	0	1	9	0	0	0	1	1	0	0	13	1	1	3	1	2	1	0	1	1	7
GCF_050205645.1	1	0	1	1	1	1	0	1	0	1	1	4	16	1	0	1	1	1	2	6	6	0	2	0	1	7	0	1	1	1	1	1	1	16	1	1	3	2	2	1	0	1	1	9
GCF_050632215.1	1	0	1	0	1	1	0	1	0	0	1	9	22	1	0	2	1	1	1	13	7	0	2	0	1	8	0	0	0	1	1	0	1	18	0	0	2	1	2	0	0	1	1	9
GCF_900078685.2	2	0	1	0	1	1	0	1	0	0	0	6	13	1	1	1	2	1	1	9	3	1	4	0	1	7	0	0	0	0	1	1	0	8	0	1	1	1	2	0	0	1	1	5
GCF_900108565.1	1	0	1	0	1	1	0	1	0	0	1	6	17	1	1	2	1	1	1	12	3	0	2	0	1	12	0	0	0	1	1	0	0	23	1	1	3	1	2	0	0	1	1	8
GCF_900157375.1	1	0	1	0	1	1	0	1	0	0	1	5	22	1	1	1	1	1	1	8	7	1	2	0	1	7	1	1	1	1	1	1	1	27	1	1	5	2	2	1	0	1	1	7
GCF_900157385.1	1	0	1	1	1	1	0	1	0	0	1	5	20	1	1	1	2	1	1	10	9	1	2	0	1	7	1	1	0	1	1	1	1	16	1	1	3	2	2	2	0	1	1	9
GCF_900176255.2	1	0	1	0	1	1	0	1	0	0	1	7	20	1	1	1	2	1	1	8	10	1	2	0	1	8	1	1	1	1	1	1	1	21	1	1	4	2	2	1	0	1	1	7
GCF_900187065.1	1	0	1	0	1	1	0	1	0	0	1	4	20	1	1	1	1	1	1	9	6	0	1	1	1	10	0	0	0	1	1	0	0	18	0	0	4	1	2	0	0	1	1	7
GCF_900232995.1	1	0	0	0	1	1	0	1	1	1	1	4	14	1	1	1	1	1	1	8	7	0	2	0	1	9	1	1	0	1	1	0	1	16	1	1	3	2	2	1	1	1	1	7
GCF_900292015.1	1	0	1	0	1	1	0	1	1	0	1	6	15	1	1	1	1	1	1	7	9	1	3	0	1	12	1	1	1	1	0	1	1	11	1	1	2	2	2	1	1	1	1	8
GCF_900454025.1	1	0	0	0	1	1	0	2	0	0	1	10	19	1	0	2	1	1	1	14	3	0	3	0	1	8	0	0	0	1	1	0	0	16	1	1	3	1	2	0	1	1	2	9
GCF_900566055.1	2	0	1	0	1	1	0	1	0	1	1	5	25	1	1	1	1	1	1	8	9	1	4	0	1	15	0	1	1	1	2	0	1	15	1	1	2	2	2	1	0	1	1	8
GCF_900566075.1	2	0	0	0	1	1	0	1	0	1	1	5	18	1	1	1	1	1	1	8	10	1	4	0	1	16	0	1	1	1	1	0	1	15	1	1	2	2	2	0	0	1	1	8
GCF_900566085.1	2	0	0	0	1	1	0	1	0	0	1	5	18	1	1	1	1	1	1	8	9	1	3	0	1	18	0	1	1	1	1	0	0	15	1	1	2	2	2	0	0	1	1	9
GCF_900603025.1	1	0	1	0	0	1	0	1	0	0	1	6	21	1	1	2	1	1	1	10	4	0	2	1	1	9	0	0	0	1	1	0	0	22	1	0	4	1	2	0	0	1	1	7
